Datetime,ABS_640,ABS_520,ABS_365,AAE,Scat_700,Scat_550,Scat_450,BS_700,BS_550,BS_450,SAE,SSA_700,SSA_550,SSA_450
'02-Jul-2022 18:50:00',0.806829102,0.985618756,1.728947006,1.354953634,11.77612671,15.6190963,19.71844453,1.26482425,1.907185167,5.126039667,1.164674408,0.943030004,0.944788095,0.938683807
'02-Jul-2022 19:00:00',0.685548413,0.8352515,1.275389055,1.110108999,12.33135912,15.92913552,20.14049389,1.95404125,1.866111333,3.415679167,1.106302028,0.952144996,0.952861037,0.952273865
'02-Jul-2022 19:10:00',0.787320742,0.960721936,1.465418824,1.108920789,11.85451524,16.31412164,20.39614959,1.623139417,1.920879167,2.929526667,1.23202318,0.943448928,0.947827047,0.946554558
'02-Jul-2022 19:20:00',0.664801448,0.807309817,1.189863075,1.041850701,11.67158443,15.67123792,20.39542909,1.5718925,1.836269083,3.466014583,1.266896804,0.95067464,0.95365594,0.955139409
'02-Jul-2022 19:30:00',0.83547605,1.013381846,1.562621945,1.125410214,11.74686094,16.43116281,20.0531951,1.966718917,1.986536667,4.377905417,1.218146748,0.939502516,0.945228463,0.942132489
'02-Jul-2022 19:40:00',0.846866269,1.030819831,1.63674239,1.187435835,12.43092591,16.10344068,20.23823398,1.6542575,1.81212475,2.614413542,1.108700924,0.942242049,0.943443737,0.940644179
'02-Jul-2022 19:50:00',0.701364236,0.852031907,1.274063469,1.07099418,12.33787794,16.06850365,20.99793022,1.884135583,1.878469167,2.985299167,1.207411623,0.950697118,0.952441758,0.953726103
'02-Jul-2022 20:00:00',0.810256712,0.973836461,1.36827278,0.930820257,12.10601519,16.41651253,20.98379874,1.963514417,1.889499833,3.190029167,1.248547102,0.942637312,0.947308865,0.949718684
'02-Jul-2022 20:10:00',0.786581111,0.94785437,1.481759609,1.148737414,12.07037539,17.01145713,22.02099022,2.075306167,2.02206275,3.090177083,1.37672732,0.944432866,0.950497266,0.949745586
'02-Jul-2022 20:20:00',0.725053334,0.877884885,1.440103573,1.239457222,12.12162383,17.41437365,22.55051423,1.528078583,1.936123333,4.111368583,1.408000046,0.949099409,0.955014569,0.952960139
'02-Jul-2022 20:30:00',0.630074738,0.757268717,1.073614847,0.952298392,11.8110369,17.19592834,22.31077401,1.818537917,1.830310667,2.770646083,1.447596951,0.953180596,0.959867277,0.962077241
'02-Jul-2022 20:40:00',0.602249087,0.727409466,1.003190778,0.909153266,12.23449236,17.25218541,21.70285294,1.867080667,1.97375625,2.588658854,1.302983302,0.956437641,0.961432798,0.963127609
'02-Jul-2022 20:50:00',0.632604655,0.755200124,1.047261987,0.900079751,12.42497634,17.32028874,21.66473396,1.9220605,1.823600167,2.428864333,1.267848703,0.954929341,0.960129126,0.961469198
'02-Jul-2022 21:00:00',0.682222698,0.825242264,1.193249775,0.997412367,12.20970051,17.76774393,23.1974884,1.931826833,2.40416,2.775859167,1.458936231,0.951123535,0.957900956,0.959969815
'02-Jul-2022 21:10:00',0.716127816,0.854487914,1.270027271,1.029381044,12.62488809,18.14098113,23.66047025,2.069221,2.060502083,4.55919525,1.423835464,0.950778336,0.957361987,0.958473901
'02-Jul-2022 21:20:00',0.702561329,0.852946822,1.368053068,1.202268363,12.5858187,18.52672973,23.68614323,1.509808083,1.98034775,2.814029167,1.437456038,0.952247821,0.958716597,0.957026171
'02-Jul-2022 21:30:00',0.650726115,0.78309659,1.275938202,1.218171702,11.97729288,18.72631851,23.2515951,2.025459306,2.016661762,3.15892649,1.514038035,0.953476445,0.962373434,0.959179364
'02-Jul-2022 21:40:00',0.682859237,0.835526457,1.504976204,1.430538608,12.43351479,18.01322629,24.23430042,2.446804856,2.005295268,2.71025517,1.513002146,0.953833955,0.958950261,0.956052262
'02-Jul-2022 21:50:00',0.704202181,0.858980309,1.514631773,1.375360031,11.88119387,18.76019699,23.73140241,1.785101189,1.916032966,4.368390522,1.576660163,0.950188663,0.959299295,0.954344104
'02-Jul-2022 22:00:00',0.651026645,0.781569588,1.223934206,1.138527549,12.5015125,18.13805805,25.09858927,1.830513179,2.108652278,3.588603958,1.580817441,0.954911137,0.961131333,0.963001063
'02-Jul-2022 22:10:00',0.681575644,0.821529362,1.462480969,1.387438562,12.96369725,19.59105408,24.76189176,2.269705517,2.210516267,2.9210825,1.478556944,0.955438235,0.962633061,0.957708385
'02-Jul-2022 22:20:00',0.63804437,0.76582828,1.172657414,1.086396845,12.29849214,17.98768716,25.33055276,1.806108877,2.136247567,4.052849233,1.640855117,0.954791847,0.961459202,0.964541559
'02-Jul-2022 22:30:00',0.591788627,0.708071714,0.948401019,0.833314157,12.24944528,18.47577546,23.16522968,2.069120673,2.23977245,2.865118425,1.454244837,0.95700472,0.964667065,0.966811666
'02-Jul-2022 22:40:00',0.565321522,0.676929078,0.870060427,0.76106377,11.70159581,17.03554067,22.81705345,1.933385797,1.975622433,2.9489568,1.516581897,0.95662942,0.963253762,0.968488808
'02-Jul-2022 22:50:00',0.560038476,0.664944919,0.88680655,0.818295555,11.31510261,17.36022294,22.08653511,1.79142081,2.07175964,5.25764375,1.519595528,0.956003216,0.964606366,0.967190733
'02-Jul-2022 23:00:00',0.676050336,0.811175222,1.170264291,0.976443062,12.88853196,18.81041433,24.33748611,1.7085316,2.345232367,2.986396271,1.44940238,0.954161526,0.960840034,0.962378365
'02-Jul-2022 23:10:00',0.898072973,1.087123909,1.591715952,1.023748979,14.04131909,19.81875616,25.58256587,2.060440727,2.343139313,3.1853191,1.375499212,0.944659533,0.950810847,0.952309585
'02-Jul-2022 23:20:00',0.735233821,0.882750375,1.250664386,0.949781688,11.97302243,18.24016137,23.48706792,1.85002427,2.19899324,3.364871583,1.540276906,0.946305452,0.956114388,0.958175043
'02-Jul-2022 23:30:00',0.836440432,1.001758856,1.468971092,1.011135583,13.71801848,20.04532005,25.19944689,1.86244495,2.441610133,4.011027267,1.384974165,0.94709245,0.954911361,0.954853128
'02-Jul-2022 23:40:00',0.899360926,1.089766473,1.628694115,1.065184489,15.08414055,20.99801251,27.1095575,2.146355617,2.385853067,4.4958091,1.33015148,0.948451443,0.953327886,0.954094956
'02-Jul-2022 23:50:00',0.763682734,0.921554327,1.292992614,0.934113625,11.87028052,17.78993652,24.9168123,1.55076189,2.13872655,4.151804867,1.688330973,0.944143243,0.953281186,0.959239143
'03-Jul-2022 00:00:00',0.625105887,0.738348966,1.026968409,0.888300093,11.33236348,16.86734861,22.6320978,1.636495817,1.801446123,5.665707292,1.568902145,0.951498451,0.960005513,0.963710977
'03-Jul-2022 00:10:00',0.771849947,0.932968151,1.355183949,1.007111945,12.05896264,18.01809733,24.25901014,1.984402967,2.05250825,3.3646786,1.585572956,0.944606331,0.953364562,0.95661908
'03-Jul-2022 00:20:00',0.859821884,1.027978377,1.479258212,0.974510339,14.33400181,20.18714802,25.11406248,2.320460867,2.337134367,3.479235307,1.281092489,0.94764396,0.953993446,0.95409816
'03-Jul-2022 00:30:00',0.815029863,0.98026132,1.390244318,0.955418156,13.42642974,19.14126093,24.73234196,2.068547347,2.331426267,2.213896133,1.402210953,0.946825925,0.953712635,0.955989164
'03-Jul-2022 00:40:00',0.673005008,0.805244634,1.16192708,0.977528185,11.82642826,17.38581563,23.37725848,1.7689564,1.971002783,3.734585867,1.545062984,0.950435391,0.957988512,0.961105751
'03-Jul-2022 00:50:00',0.718435762,0.864994286,1.230087302,0.958728216,12.64225298,17.83365738,22.92150028,2.34600565,2.163164043,2.9707233,1.349100733,0.95039252,0.956096198,0.958003849
'03-Jul-2022 01:00:00',0.787330762,0.949773475,1.42056874,1.059376442,12.38642492,18.72777583,23.96430586,1.711229067,1.976934467,3.200855983,1.507905164,0.945028136,0.954322959,0.954669577
'03-Jul-2022 01:10:00',0.883430253,1.080781947,1.666514713,1.136521319,12.30814534,18.89481246,25.9082324,2.096392283,2.295698183,5.262713883,1.690440538,0.939027764,0.948848475,0.951799773
'03-Jul-2022 01:20:00',0.875155861,1.081457604,1.707437462,1.199823674,11.93963302,17.41844225,24.09113158,2.28477424,2.068016667,4.362986,1.590929027,0.938100629,0.945048998,0.947714666
'03-Jul-2022 01:30:00',0.854614991,1.035396864,1.560559097,1.088073039,12.43680491,18.1662478,24.02891012,2.259215167,1.903295383,3.498893611,1.516602992,0.94040364,0.949051037,0.950518966
'03-Jul-2022 01:40:00',0.988607676,1.188638411,1.744640231,1.018196685,13.84555428,20.17151092,26.13674024,2.018697893,2.35019045,3.458171892,1.444970982,0.938563153,0.947179526,0.948823185
'03-Jul-2022 01:50:00',0.915227716,1.117824502,1.668833768,1.076912231,12.03039725,18.11117244,23.83846469,1.819714503,2.077976023,4.499483933,1.565739229,0.934952232,0.945008413,0.947086285
'03-Jul-2022 02:00:00',0.773900255,0.94673026,1.405080163,1.067502381,10.6425499,16.27745511,21.27985693,1.607455353,2.06796144,3.633846887,1.575094458,0.938056307,0.948071321,0.949869663
'03-Jul-2022 02:10:00',0.740427974,0.898425543,1.325678985,1.044470618,10.73488748,16.63525209,21.02066577,1.683550083,1.93133255,2.975038889,1.528212046,0.940786311,0.951390543,0.951658473
'03-Jul-2022 02:20:00',0.857696975,1.040663311,1.50743503,1.006770779,11.47291727,17.74317779,22.65156984,2.22469136,2.230687833,3.095672517,1.558502978,0.935578329,0.947371215,0.948850443
'03-Jul-2022 02:30:00',0.751787795,0.922384513,1.359968002,1.059442582,10.71320027,15.57618551,21.42377097,2.123649133,1.841858117,4.260603125,1.574922946,0.939737196,0.947149009,0.951591693
'03-Jul-2022 02:40:00',0.741639502,0.912857148,1.363042671,1.087697487,9.477955557,15.54721448,20.72715305,1.125470033,1.558128897,4.864923883,1.781281932,0.933593715,0.947521572,0.950168044
'03-Jul-2022 02:50:00',0.721157746,0.877190241,1.303817822,1.060466034,9.847680679,14.61866746,20.81893821,1.699912593,1.724583367,3.315112803,1.693453778,0.937406692,0.946457463,0.952204858
'03-Jul-2022 03:00:00',0.740874704,0.899191486,1.407552457,1.144656551,10.00746954,15.99116984,21.43197012,1.802135983,1.951896493,3.396902,1.737684958,0.936748217,0.949838229,0.95099056
'03-Jul-2022 03:10:00',0.544372584,0.663391816,0.978500373,1.002828593,9.069959565,14.33349974,19.36825454,1.3972293,1.58913722,1.833789167,1.734687009,0.947977464,0.958347417,0.961444827
'03-Jul-2022 03:20:00',0.475815462,0.557131405,0.750867194,0.815348983,8.352237311,13.48658489,18.76770105,1.313209717,1.35497165,2.337553125,1.842989146,0.94927681,0.961889028,0.967346546
'03-Jul-2022 03:30:00',0.500787552,0.590866437,0.795590078,0.826188703,8.386001709,13.61707025,18.5450747,1.10956873,1.400065233,3.1367672,1.813385367,0.946884312,0.960233509,0.965139655
'03-Jul-2022 03:40:00',0.463184225,0.54719687,0.733700069,0.816820075,9.081946089,13.19531179,18.81618866,1.586797353,1.72222435,2.519173667,1.649923931,0.954571825,0.961867921,0.968211655
'03-Jul-2022 03:50:00',0.437637758,0.518855078,0.699158289,0.834562594,8.186463133,13.32837326,18.1808572,1.285099883,1.540168127,1.771957687,1.819821915,0.9524689,0.964157603,0.968706835
'03-Jul-2022 04:00:00',0.449381777,0.528100731,0.717757247,0.836249865,8.376359829,13.0140856,18.08519801,1.438165033,1.452327587,2.810214383,1.774389806,0.951370624,0.962635166,0.967754907
'03-Jul-2022 04:10:00',0.451438366,0.540452445,0.725626671,0.84470745,7.923070495,13.43083194,17.51861101,1.287138037,1.60859342,2.476066722,1.812573304,0.949583761,0.963017216,0.96641668
'03-Jul-2022 04:20:00',0.463259714,0.54534684,0.745718724,0.851233703,8.636302138,13.14861941,17.32972888,1.6090154,1.482553613,2.722727042,1.583837094,0.952501709,0.961897685,0.965224802
'03-Jul-2022 04:30:00',0.448219152,0.527442657,0.717489974,0.840463754,8.319973418,12.6872391,17.68728509,1.169196027,1.553762023,2.183044733,1.7244606,0.951769729,0.961800858,0.967091024
'03-Jul-2022 04:40:00',0.424432786,0.502358651,0.671927649,0.818498855,8.398991584,13.19718122,18.12490217,1.36521674,1.620148887,2.749906333,1.752589157,0.95480729,0.964879773,0.969673255
'03-Jul-2022 04:50:00',0.443930341,0.523702912,0.726590531,0.880096572,8.184297348,13.3923169,18.15234338,1.521504733,1.450087787,4.146341393,1.81394968,0.952143749,0.96400951,0.967811605
'03-Jul-2022 05:00:00',0.501856148,0.615033739,0.928094567,1.06689706,8.959226769,13.85505327,19.70646977,1.778927633,1.623536,4.306435433,1.785913635,0.951506258,0.959932697,0.964202186
'03-Jul-2022 05:10:00',0.481362806,0.588260355,0.858641603,1.031171525,9.071875473,13.72095479,18.57044501,1.612133743,1.34507608,3.057278183,1.627231634,0.953770805,0.961034998,0.964082065
'03-Jul-2022 05:20:00',0.564501716,0.679893566,0.979484726,0.983926859,8.923842741,13.26747316,18.63317931,1.464898207,1.595983513,2.430698273,1.668847937,0.945222153,0.953618457,0.95904886
'03-Jul-2022 05:30:00',0.521425854,0.63339121,0.936416411,1.048231939,8.863035829,13.56396996,18.21984585,1.383478517,1.743265167,3.776418767,1.638918164,0.948946481,0.957712485,0.960395734
'03-Jul-2022 05:40:00',0.569938353,0.684210861,0.953957483,0.921158448,8.739663743,13.70171547,18.60534321,1.311385483,1.382919333,4.031006573,1.716183512,0.94314892,0.954553546,0.959378869
'03-Jul-2022 05:50:00',0.606225071,0.716490197,0.968249841,0.836296902,9.181707921,13.93570294,18.63741974,1.333781587,1.52770879,3.618355833,1.610468715,0.94200792,0.953230984,0.958189746
'03-Jul-2022 06:00:00',0.70379465,0.823810406,1.186048341,0.924816247,13.04364267,20.0866454,26.17163774,1.750691423,2.195534867,2.73400169,1.602967263,0.951258082,0.961522885,0.963710188
'03-Jul-2022 06:10:00',0.711103487,0.84655157,1.312345399,1.091764412,14.98441854,22.28647523,27.47159552,2.3087927,2.44901825,2.871297,1.364755659,0.958266463,0.964927488,0.962949285
'03-Jul-2022 06:20:00',0.50553478,0.597970993,0.857491002,0.939459524,9.171517484,13.58018085,18.82714297,1.31724707,1.580607227,3.165819867,1.6304652,0.951468687,0.959889417,0.964076045
'03-Jul-2022 06:30:00',0.460028728,0.540627305,0.731003124,0.826837275,9.510995807,13.49045622,18.1908674,1.510599933,1.548508053,1.885430083,1.468980596,0.95687424,0.96314086,0.967307267
'03-Jul-2022 06:40:00',0.433909071,0.511564671,0.675499271,0.78657266,8.60080522,13.48489765,17.3248338,1.19861305,1.417880853,3.182230533,1.597075711,0.954791824,0.964921256,0.967925222
'03-Jul-2022 06:50:00',0.420565082,0.500190568,0.661664421,0.805377549,9.017202072,13.01186648,16.97646428,1.11088065,1.414652893,2.846583067,1.433636853,0.958386261,0.964419062,0.968094307
'03-Jul-2022 07:00:00',0.449634416,0.535231761,0.746432387,0.909173391,8.466881202,13.64687544,17.96806222,1.313204303,1.39408831,2.953122417,1.713283857,0.953607861,0.964202327,0.966454774
'03-Jul-2022 07:10:00',0.461930042,0.554392939,0.832075306,1.066064813,8.976368141,12.67760857,17.71857602,1.37348377,1.214824867,2.625525367,1.556061214,0.953843925,0.960325683,0.963773084
'03-Jul-2022 07:20:00',0.433369027,0.516110031,0.748595093,0.980780313,9.64948177,13.22825004,16.85328641,1.656887421,1.43171036,2.983108333,1.256779854,0.960295065,0.964436707,0.965197123
'03-Jul-2022 07:30:00',0.411021966,0.497570287,0.719033768,0.989170432,8.595948659,12.85372628,17.16490006,1.641989583,1.3422935,2.4305625,1.573759129,0.958111123,0.964642025,0.967213831
'03-Jul-2022 07:40:00',0.449877503,0.53394187,0.705138985,0.800768574,8.489431316,12.2817053,16.40557494,1.033028,1.247193333,3.083583167,1.501696215,0.952619482,0.960100983,0.964815799
'03-Jul-2022 07:50:00',0.391839543,0.462202251,0.634097925,0.857770788,8.324219974,11.92926842,16.33014959,1.618465167,1.2026555,2.214974833,1.529463239,0.958022781,0.96440656,0.96863354
'03-Jul-2022 08:00:00',0.386653973,0.454817619,0.628293195,0.870836728,8.067309073,12.39779805,15.19594003,1.6305835,1.154848083,1.46205,1.441245484,0.957404858,0.966239182,0.966442233
'03-Jul-2022 08:10:00',0.360865274,0.430793293,0.592084483,0.874499091,7.720347255,11.85242981,14.32509764,0.871987583,1.207120083,1.059530972,1.440355401,0.956774199,0.966647757,0.966810735
'03-Jul-2022 08:20:00',0.402538513,0.478116409,0.64993321,0.838728268,7.384631593,11.78088356,14.99901703,1.39300925,1.368089583,3.4547825,1.614783954,0.951922673,0.962730198,0.965089202
'03-Jul-2022 08:30:00',0.379721227,0.442365905,0.607939654,0.858890119,6.906899844,10.63353588,15.06598777,0.965734333,1.23436275,2.026308,1.773716467,0.951391304,0.962180496,0.967296771
'03-Jul-2022 08:40:00',0.501157984,0.583664005,0.775247809,0.778649397,7.472984673,11.12444691,15.22734366,1.375802417,1.444034333,2.673111833,1.61299477,0.940961411,0.952029039,0.958474335
'03-Jul-2022 08:50:00',0.31991551,0.379093533,0.500848469,0.786648265,6.128977812,10.12326969,13.64053671,1.160218417,1.262790667,2.6931375,1.818151103,0.953986678,0.965365441,0.969686725
'03-Jul-2022 09:00:00',0.389249345,0.45333299,0.600763411,0.768759898,5.946866185,10.00879445,12.64439793,0.68176225,1.107582167,2.743765313,1.720632561,0.942577547,0.95821561,0.961205468
'03-Jul-2022 09:10:00',0.449847982,0.526660281,0.685179426,0.743222481,7.403662077,10.99838134,14.22660158,1.170350083,1.234462917,2.242775938,1.485440478,0.946256931,0.956092434,0.960465255
'03-Jul-2022 09:20:00',0.426063781,0.502274085,0.670458613,0.811307602,6.643664425,10.28263942,13.37394551,1.196674167,1.35818275,3.3958375,1.603364255,0.943599585,0.955639825,0.95934174
'03-Jul-2022 09:30:00',0.395749143,0.461420082,0.602587474,0.74355086,6.810354976,9.592263474,12.74982419,1.31714325,1.150298667,2.522909028,1.433222277,0.94768769,0.95582115,0.961158084
'03-Jul-2022 09:40:00',0.406659844,0.473788523,0.617099066,0.741383184,6.07899249,9.108581618,12.81917114,1.312713083,1.131049,3.297829688,1.698053506,0.940379908,0.95251073,0.960297005
'03-Jul-2022 09:50:00',0.408527303,0.4748379,0.612888494,0.71411701,6.642977489,9.969559485,12.36021602,1.240730667,1.238273583,2.504171167,1.445256787,0.944189764,0.956285618,0.959110145
'03-Jul-2022 10:00:00',0.456488466,0.525353473,0.690333971,0.72337947,6.52572939,9.543292409,13.15364034,1.554101667,1.213040417,4.510126667,1.590135933,0.938633679,0.949971642,0.957007585
'03-Jul-2022 10:10:00',0.445132802,0.522903088,0.667908644,0.711601858,5.969292126,9.645412449,12.6763609,1.281555,1.080831,2.092755083,1.766945715,0.932148027,0.950237696,0.956854473
